State_UT,SubCentres_Rural,SubCentres_Urban,PHCs_Rural,PHCs_Urban,CHCs_Rural,CHCs_Urban
Andhra Pradesh,11073,407,1142,547,139,42
Arunachal Pradesh,355,12,126,5,57,0
Assam,4667,34,920,90,172,29
Bihar,9375,1024,1492,268,269,32
Chhattisgarh,5124,370,770,52,167,3
Goa,219,0,24,4,6,0
Gujarat,9132,0,1474,330,344,17
Haryana,2653,0,394,103,129,2
Himachal Pradesh,2114,1,553,17,93,4
Jharkhand,3848,0,291,70,171,7
Karnataka,8757,515,2138,383,182,30
Kerala,4933,479,780,164,211,19
Madhya Pradesh,10287,0,1266,306,332,24
Maharashtra,10673,0,1853,686,256,142
Manipur,393,23,74,21,8,9
Meghalaya,459,0,122,25,28,0
Mizoram,300,73,57,9,9,0
Nagaland,434,18,129,7,23,0
Odisha,6688,0,1288,105,377,7
Punjab,2951,0,422,100,150,10
Rajasthan,13523,66,2133,276,616,69
Sikkim,147,6,24,2,2,0
Tamil Nadu,8713,0,1422,464,385,15
Telangana,4229,681,578,256,28,54
Tripura,956,44,108,9,21,2
Uttarakhand,1785,66,531,76,52,28
Uttar Pradesh,20781,0,2919,594,829,12
West Bengal,10357,0,915,456,348,0
Andaman & Nicobar Islands,124,0,22,5,4,0
Chandigarh,0,0,0,43,0,2
Dadra & Nagar Haveli and Daman & Diu,94,3,12,2,3,1
Delhi,12,2,5,545,0,0
Jammu & Kashmir,2429,42,891,82,56,23
Ladakh,288,0,32,1,7,0
Lakshadweep,9,0,4,0,3,0
Puducherry,53,28,24,15,3,1
All India,157935,3894,24935,6118,5480,584
