State_UT,SC_Required,SC_InPosition,SC_Shortfall,SC_PctShortfall,PHC_Required,PHC_InPosition,PHC_Shortfall,PHC_PctShortfall,CHC_Required,CHC_InPosition,CHC_Shortfall,CHC_PctShortfall
Andhra Pradesh,7078,11073,*,*,1167,1142,25,2,291,139,152,52
Arunachal Pradesh,345,355,*,*,52,126,*,*,13,57,*,*
Assam,6546,4667,1879,29,1068,920,148,14,267,172,95,36
Bihar,22238,9375,12863,58,3698,1492,2206,60,924,269,655,71
Chhattisgarh,5454,5124,330,6,864,770,94,11,216,167,49,23
Goa,86,219,*,*,14,24,*,*,3,6,*,*
Gujarat,8448,9132,*,*,1361,1474,*,*,340,344,*,*
Haryana,3493,2653,840,24,582,394,188,32,145,129,16,11
Himachal Pradesh,1389,2114,*,*,229,553,*,*,57,93,*,*
Jharkhand,6998,3848,3150,45,1115,291,824,74,278,171,107,38
Karnataka,7997,8757,*,*,1313,2138,*,*,328,182,146,45
Kerala,1893,4933,*,*,314,780,*,*,78,211,*,*
Madhya Pradesh,14421,10287,4134,29,2311,1266,1045,45,577,332,245,42
Maharashtra,14255,10673,3582,25,2323,1853,470,20,580,256,324,56
Manipur,546,393,153,28,86,74,12,14,21,8,13,62
Meghalaya,845,459,386,46,127,122,5,4,31,28,3,10
Mizoram,182,300,*,*,27,57,*,*,6,9,*,*
Nagaland,395,434,*,*,59,129,*,*,14,23,*,*
Odisha,8776,6688,2088,24,1409,1288,121,9,352,377,*,*
Punjab,3575,2951,624,17,595,422,173,29,148,150,*,*
Rajasthan,13152,13523,*,*,2136,2133,3,0,534,616,*,*
Sikkim,88,147,*,*,14,24,*,*,3,2,1,33
Tamil Nadu,7235,8713,*,*,1202,1422,*,*,300,385,*,*
Telangana,4379,4229,150,3,714,578,136,19,178,28,150,84
Tripura,645,956,*,*,101,108,*,*,25,21,4,16
Uttarakhand,1526,1785,*,*,252,531,*,*,63,52,11,17
Uttar Pradesh,35772,20781,14991,42,5955,2919,3036,51,1488,829,659,44
West Bengal,13194,10357,2837,22,2171,915,1256,58,542,348,194,36
A & N Islands,48,124,*,*,7,22,*,*,1,4,*,*
Chandigarh,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App,N App
D & N Haveli and Daman & Diu,67,94,*,*,10,12,*,*,2,3,*,*
Delhi,21,12,9,43,3,5,*,*,0,0,0,0
Jammu & Kashmir,2057,2429,*,*,335,891,*,*,83,56,27,33
Ladakh,69,288,*,*,10,32,*,*,2,7,*,*
Lakshadweep,0,9,*,*,0,4,*,*,0,3,*,*
Puducherry,97,53,44,45,16,24,*,*,4,3,1,25
All India Total,193310,157935,48060,25,31640,24935,9742,31,7894,5480,2852,36
