S_No,State_UT,SubCentres_Rural,SubCentres_Urban,PHCs_Rural,PHCs_Urban,CHCs_Rural,CHCs_Urban
1,Andhra Pradesh,11073,407,1142,547,139,42
2,Arunachal Pradesh,355,12,126,5,57,0
3,Assam,4667,34,920,90,172,29
4,Bihar,9375,1024,1492,268,269,32
5,Chhattisgarh,5124,370,770,52,167,3
6,Goa,219,0,24,4,6,0
7,Gujarat,9132,0,1474,330,344,17
8,Haryana,2653,0,394,103,129,2
9,Himachal Pradesh,2114,1,553,17,93,4
10,Jharkhand,3848,0,291,70,171,7
11,Karnataka,8757,515,2138,383,182,30
12,Kerala,4933,479,780,164,211,19
13,Madhya Pradesh,10287,0,1266,306,332,24
14,Maharashtra,10673,0,1853,686,256,142
15,Manipur,393,23,74,21,8,9
16,Meghalaya,459,0,122,25,28,0
17,Mizoram,300,73,57,9,9,0
18,Nagaland,434,18,129,7,23,0
19,Odisha,6688,0,1288,105,377,7
20,Punjab,2951,0,422,100,150,10
21,Rajasthan,13523,66,2133,276,616,69
22,Sikkim,147,6,24,2,2,0
23,Tamil Nadu,8713,0,1422,464,385,15
24,Telangana,4229,681,578,256,28,54
25,Tripura,956,44,108,9,21,2
26,Uttarakhand,1785,66,531,76,52,28
27,Uttar Pradesh,20781,0,2919,594,829,12
28,West Bengal,10357,0,915,456,348,0
29,Andaman & Nicobar Islands,124,0,22,5,4,0
30,Chandigarh,0,0,0,43,0,2
31,Dadra & Nagar Haveli and Daman & Diu,94,3,12,2,3,1
32,Delhi,12,2,5,545,0,0
33,Jammu & Kashmir,2429,42,891,82,56,23
34,Ladakh,288,0,32,1,7,0
35,Lakshadweep,9,0,4,0,3,0
36,Puducherry,53,28,24,15,3,1
,All India,157935,3894,24935,6118,5480,584
